municipio_ibge,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,SE 18,SE 19,SE 20,SE 21,SE 22
3542909,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3543006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543204,0,0,0,0,1,1,2,2,2,2,6,7,8,15,22,34,40,54,61,63,64,64
3543238,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4
3543253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543402,219,586,1207,2069,3216,4771,6416,8025,9536,11134,12572,13524,14120,14628,15068,15431,15679,15889,16052,16163,16216,16245
3543501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3543709,0,0,0,0,0,2,7,8,8,10,10,12,12,12,12,13,13,13,13,13,13,13
3543808,73,185,336,440,514,590,640,674,694,702,703,708,709,710,710,710,710,710,710,710,710,710
3543907,4,26,43,68,86,116,154,184,229,271,317,369,428,496,588,670,747,814,858,884,904,917
3544004,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,5,7,7
3544103,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3544202,0,0,1,2,4,7,8,11,11,12,16,17,18,19,20,21,22,23,23,25,25,26
3544251,2,4,15,25,34,66,111,137,188,249,309,360,421,476,524,589,629,675,702,719,731,731
3544301,2,4,8,17,21,30,40,51,64,69,76,78,79,80,83,83,88,89,90,90,90,91
3544400,5,11,12,15,15,19,22,25,26,32,36,39,44,50,52,56,61,64,73,83,90,96
3544509,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,5,6,6,6,6
3544608,1,7,13,33,49,96,136,163,197,214,229,234,242,247,253,258,261,262,262,264,264,264
3544707,0,11,33,65,97,160,215,253,295,311,312,312,312,312,312,312,312,312,312,312,312,312
3544806,0,0,0,2,2,3,4,5,5,6,7,9,10,12,12,13,13,13,14,14,14,14
3544905,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,6,7,7,7,8,8,8
3545001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
